          tag           |         lemma          | part_of_speech |                                         definition                                         
------------------------+------------------------+----------------+--------------------------------------------------------------------------------------------
 abbreviation           | ODP                    | name           | Initialism of Oracle Data Provider.
 abbreviation           | CIFE                   | noun           | Initialism of cost, insurance, freight and exchange.
 abbreviation           | SSE                    | name           | Initialism of Streaming SIMD Extensions, an extension to the x86 CPU instruction set archi
 abbreviation           | ECM                    | noun           | Initialism of electronic countermeasure.
 abbreviation           | F4M                    | phrase         | Initialism of female for male.
 abbreviation           | Pines                  | name           | Ellipsis of Pines City Colleges; a college in Baguio, Benguet, Philippines.
 abbreviation           | top scar               | noun           | Ellipsis of top surgery scar.
 abbreviation           | Det.                   | noun           | Abbreviation of detective.
 acronym                | POP                    | noun           | Acronym of probability of precipitation.
 acronym                | AMDA                   | name           | Acronym of Anglo-Malaysian Defence Agreement.
 acronym                | POPLA                  | name           | Acronym of Parking on Private Land Appeals.
 acronym                | CAN                    | noun           | Acronym of court attendance notice.
 acronym                | I-HAWK                 | noun           | Acronym of Improved homing-all-the-way killer, a type of missile.
 acronym                | AMLC                   | name           | Acronym of Anti-Money Laundering Council
 acronym                | LAFRA                  | name           | Acronym of Leasehold and Freehold Reform Act.
 acronym                | BUFF                   | noun           | Acronym of big ugly fat fellow (or fucker), US Air Force nickname for the B-52 bomber.
 alternative            | tankfarm               | noun           | Alternative form of tank farm.
 alternative            | nagkassar              | noun           | Alternative form of nagkesar.
 alternative            | multi-millionaire      | noun           | Alternative form of multimillionaire.
 alternative            | somniloquise           | verb           | Alternative form of somniloquize.
 alternative            | panjee                 | noun           | Alternative form of punji.
 alternative            | mizzen-top             | noun           | Alternative form of mizzentop.
 alternative            | theatrewise            | adv            | Alternative form of theaterwise.
 alternative            | wa                     | intj           | Alternative form of waa.
 alt-of                 | gas-lit                | adj            | Alternative form of gaslit.
 alt-of                 | earthgirl              | noun           | Alternative letter-case form of Earthgirl.
 alt-of                 | pearl-necklace         | noun           | Alternative form of pearl necklace.
 alt-of                 | expectin'              | verb           | Pronunciation spelling of expecting.
 alt-of                 | FWA                    | name           | Initialism of Fair Work Australia.
